Game ID,Comment,Label,Home Team,Away Team,Kosovas Result
19,"Nderrimi i menjehershem i trejnerit.
Challandes duhet te shkoj ne Penzion se na mPlaki Kosoven.",Negative,Kosovo,Spain,Loss
19,"Loj fenomenale sonte nga Kosova
Reparti i vetem qe deshtoj ishte #SULMI ??
Nje Rashic qe pati 3 raste te pasterta , por i duhen ndoshta 15 tjera qe ai te shenoj..
Dobt sonte dhe Vedati .
Mesfusha ishte fenomenale me Loshaj Dreshaj dhe Rashani ????????
Dhe nje mbrojtje solide , me nje lider te ri , siq eshte #Fazliji ????
Rastet e humbura , u kthyn bumerang
Nje humbje me koken lart
Dhe mos harroni t'ia kujtoni trainerit Challandes qe ka te drejt me ba zevendsime !
Forca Kosov",Neutral,Kosovo,Spain,Loss
3,Brraov super keni loz djema vazhdojm qeshtu shum mir asht mos tjav ninka 2040 kulaifikomi,Neutral,Kosovo,Andorra,Draw
15,Një loj sfilat manikenash per kosoven Turp Turp,Negative,Greece,Kosovo,Draw
15,"Kritika është Shumë e leht po lojë e dobet me të vertetë as një lejtar në form të duhur kundër një Greqije të lodhur,suksese kundër Spanjës!!!
",Neutral,Greece,Kosovo,Draw
29,"Urime veq shum dobet kemi lujt me ket loj prap me lujt me Moldavin ndoshta smun e mundim
",Negative,Kosovo,Moldova,Win
2,#Giresse trajneri me i dobët ne gjithë historikun e futbollit kosovar! Duhet të shkarkohet menjëherë!,Negative,Kosovo,Romania,Draw
8,"O zot metu gerrdit futbolli hajde najher pa hup sbon po qfar humbje po marrum mosvet hiq
",Negative,Northern Ireland,Kosovo,Loss
15,"A luhet me Rashic Mercenarin bre ky si mos ti shoh paret ntavolin si grah bethes. Kosova eshte rikthyer aty ku u nis te Albert Bunjaku. Kombetare qe nuk meriton te jete kombetare. Kosova eshte Joker per ata qe duan ti marrin nga 6 pike gratis, sepse Kosova eshte kafshat e vogel per cdo kombetare ne bote qe besa edhe per ato qe i kane nga 100 mij banor.",Negative,Greece,Kosovo,Draw
22,Urime e suksese,Positive,Kosovo,Gambia,Win
13,Bravo Kosova . Respekte nga Tirana .,Positive,Switzerland,Kosovo,Draw
13,"Urime , suksese ne vazhdim",Positive,Switzerland,Kosovo,Draw
15,"Valla marre kurr far Loje duhet urgjent mesfushen me ndrru plus Rashica so ka bon Aliti Vojvoda Berisha, lllom as Superlig si kisha shti!
si gjith me vjen keq po edhe spo me vjen hiq
Vetem Hadergjonaj ka lujt si duhet!",Negative,Greece,Kosovo,Draw
3,Kjo loje si shume loje tjera eshte per turp ose luani me zemer ose mos u njehni veq numer ne Kombetare se nuk eshte mbete me ju shiku as ne tv,Negative,Kosovo,Andorra,Draw
3,tmerr andora me na lone me -2 pike ne Prishtine tmerr dmth qysh ne fillim hupen shpresat per diqka ma shum,Negative,Kosovo,Andorra,Draw
29,"Ekip pa zemer me manikena nuk shkohet neuropian.MARREEEE!
",Negative,Kosovo,Moldova,Win
8,"E keni dhi n ta
",Negative,Northern Ireland,Kosovo,Loss
19,"Elbasan rashani njeri i ndeshjes super lojtar
",Positive,Kosovo,Spain,Loss
3,loj pa ide pa vizion tmerr shum dopet,Negative,Kosovo,Andorra,Draw
19,Hekni bre trajnerin se na tranut. Trajnerit te ri i nevotet kohe. Lerjani lojrat é mbetura trajnerit te ri per ta konsolidu grupin. Hekni trajnerin,Negative,Kosovo,Spain,Loss
3,"Loja është luajtur në mesfushë,aty ku nuk kishte lojtarë të Andorës. Silleshin e pshtilleshin në mes fushë pa pasur ndonjë ide se duhet shkuar përpara. Nëse ndonjë lojtarë nuk e ka ditën e vet qoft ai edhe Muriqi duhet zëvendësuar , me rëndësi është ekipi jo individi. Pas hyrjes ne lojë Zhegriva ngjalli pak sulmin që rezultio me një gol , dhe pësimi amatoresk i golit të barazimit pas nje gabimi fatal të A. Muriqit!",Neutral,Kosovo,Andorra,Draw
28,O mos ja nisni Mu ba dallime kush o kan Ma i mir neser sot eshte i mir zeneli neser rashica.. Esenca eshte Kosova Mu harmonizu Si Ekip Team-Work Leni kto mendime egoiste,Positive,Kosovo,Lithuania,Win
19,"Qfar trajneri kemi as ni ndrrimm qa te vyn kyy far migjokuu
",Negative,Kosovo,Spain,Loss
3,Marr3 ju koftt more dopsiraaa qet ekip me mahall ekishaa mujt kap merrni njerzt cilt lujjn me zemer per shtet jo manikenaa i vetmi qe kanlu me shpirt Zhegrovaa gjynah qe lun me ktaa dopsiraa,Negative,Kosovo,Andorra,Draw
28,"FFK demek asnje video Ku jep permblelljen e ndeshjes , wtf Cfar turpit per ju",Negative,Kosovo,Lithuania,Win
3,"Paramendo krejt lojen thujse paten raste edhe veq te golat ju kan nejt menxi 1 gole, ata 1 rast te lodht edhe na e dhan golle, kurfar komunimimi ne mes lojarve sdi dmth. Duhet urgjentisht te merret diqka perndryshe me kete ekip te pa kordinum edhe ne superligen e Kosoves eshte problem me lujt e le mo per ma shume !!!",Negative,Kosovo,Andorra,Draw
28,"Sikurse tash e disa loje me radhe, edhe sonte #Dresevic lojtari i ndeshjes.
",Positive,Kosovo,Lithuania,Win
29,"hajde tash ni reform ne ffk se e keni u ni luijt loij te madhe ke ni lu me ni kombtare te madhe na keni knaq flm per spektakel perqafone Dresheviqin se ke tu ba mos vet
",Negative,Kosovo,Moldova,Win
29,"Marre marre marre ,lojtar legena",Negative,Kosovo,Moldova,Win
3,Me ekipen U-21 ekisha mujt Andoren marre nji Andor e po kshyr per vend dyt,Negative,Kosovo,Andorra,Draw
19,APEL UEFAS mi zgjonu gollat edhe pak ,Neutral,Kosovo,Spain,Loss
3,"JENI MARRJA MA E MADHË E KOMBIT Jeni te shitur, jeni për keqardhje. Ky popull edhe centin e fundit e jep me ardhë ne stadium, ky popull edhe punën e len anash për juve, po ju nuk keni as zëmer as karakter, jeni veç amatera. Federatë e korruptuar!",Negative,Kosovo,Andorra,Draw
29,"Dobt shum, me ta kontrollu lojen ni ekip si moldavia plus asni duel ne ajr se kemi fitu thjesht tmerr",Negative,Kosovo,Moldova,Win
3,Katastrof nuk din njeri qka me tha kur i hup pikt prej Andores,Negative,Kosovo,Andorra,Draw
2,Kape more hiqne ket llom trajner ajeni normal a sjeni normal ajeni tu epa qe asni zevendsim sdin me ba tmerr tmerr paqaraden u desht min.30 me nxerr jasht katastrof,Negative,Kosovo,Romania,Draw
15,"Agim Ademin e shallanin me disa lojtare as ne stadion nuk i kisha leju me shikue futboll e jo me luajt
",Negative,Greece,Kosovo,Draw
3,Duhet me i ndryshu rregullat e fudbollit Jo me ni top me lujt Po duhet per ne me 11 topa Me lujt secili per veti me ni top Turp,Negative,Kosovo,Andorra,Draw
8,"Hahahah per mare jeni skeni as Trener as sen
",Negative,Northern Ireland,Kosovo,Loss
15,"Se çfare trajneri SKANDALOZ ka Kosova sot u vrejt mas mirti. Trajner pa asni koncept tlojes per 90 minuta, ni ndeshje ku pasime ka ma shume Portieri se dy lojtaret e mesfushes Halimi e Berisha.
Trajner SKANDALOZ qe edhe pse duke humbur nuk e bon asnje zevendesim ne mesfushen qendrore per afro 80 minuta, e poashtu ne nje ndeshje qe eshte duke humbur se inkuadron nje sulmues si SELMANI qe shenon pothuajse ne çdo ndeshje.
Çdo fjale tjeter e tepert per kete ekip qe udhehiqet nga ky trajner SKANDALOZ.
Shkarkone kit trajner o AMATERA.",Neutral,Greece,Kosovo,Draw
3,Parameno lojtart e Andorres e kan mar pushim me ardh me lujt aq banore sa prishtina ka Andorra.. lojtart tone vine per Kosoven sa mu fry dhe me qit naj story ninstagram sen tjeter marre,Negative,Kosovo,Andorra,Draw
4,Arber Zeneli prej min 1,Neutral,Israel,Kosovo,Draw
3,"Ndrronja bile emrin e Stadionit, mos te thojn qe ju kan turpru ne ""Fadil Vokrri"" se aj bile se meriton kta . A ju jeni krejt berdhoga me trajner me lojtar. Ju i doni ma shum Kerrat e juj se fanellen e Kosoves! Marre ju koft !!!",Negative,Kosovo,Andorra,Draw
3,"U ardh koha me ndrru trajnerin dhe mi besu ni trajnerit Shqiptar. Kqyrni Marokin, gjith ka marr trajner te huj dhe kur kurgjo ska bo. E kan marr trajnerin marokan edhe po shkelqejn Kosova ka lojtar dhe talenta shum po ka nevoj per ni trajner te mir Arbnor Muja po shkelqen ne belgjik, osht njani prej ma te mirve ne kampionit belgj. Osht lojtar i shpejt edhe e len shpirtin ne fush ... Dje as ni minut nuk u inkuadru dhe i shtin do lojtar palidhje qe skan lidhje me top hiq",Negative,Kosovo,Andorra,Draw
2,Ku po i gjejn more kta trenera  ,Neutral,Kosovo,Romania,Draw
8,Vallahi per deri sa kta qunat hajn pasul me fitu kurr jo edhe e dyta duhet ni trajner qe ka dije bre pak se jo si kur te qillon ne smok ky trajner ka ardh,Negative,Northern Ireland,Kosovo,Loss
4,Miloti si Miloti??,Positive,Israel,Kosovo,Draw
3,"Izraeli i fort, Andora e dobet hajde e bjeri nfije tash ??????? tmerr jeni mos postoni sen bile veq zhduki",Negative,Kosovo,Andorra,Draw
8,"SELFLESS, se shum SELFISH GAME po bajn kta lojtarë.
",Neutral,Northern Ireland,Kosovo,Loss
19,"Jam përkrahes i Kosoves si në humbje po ashtu edhe në fitore,Bravo gjithmon per djemt që gjithmon japin gjithqka në fush por me nje Trainer qe nuk bën as nje zevendesim urgjend duhet të largohetttt gjithsesi Bravoo djemve qee luajten me zemer ",Neutral,Kosovo,Spain,Loss
14,"Urime urime, ishte nje loj e mrekullueshme e lojtareve te Kosoves.",Positive,Kosovo,Burkina Faso,Win
3,"Katastrofal kan lujt , shume gabime .. !edhe Trajnerin e keq kosova e ka ! Plak me krraba duhet me lshu ! Neve na vyn lorik cana trajner !",Negative,Kosovo,Andorra,Draw
19,"Bravo djemve kan lujt shum mir me pak fat dot te shenojshim bile dy golla,Kurse trajnerit falemnderit po duhet patjeter mu largu paramendo spanja i beri 5 ndrrime Kosova asnja.
",Neutral,Kosovo,Spain,Loss
14,"Super Zhegrova,e Dreshaj!E ka meritu Zhegrova me dhane gol!",Positive,Kosovo,Burkina Faso,Win
7,URIME DARDAN Fitorja ndaj nji Qiproje qe akoma sna ka njofte SUKSESE,Positive,Kosovo,Cyprus,Win
4,Urime,Positive,Israel,Kosovo,Draw
8,"Loj perfekte e kosoves fatin e kem qashtu si ne si shqipria gjithmon me ju si me humje si me fitore
",Positive,Northern Ireland,Kosovo,Loss
3,Cilido klub i superliges e kish mujt Andoren #Shkarkim per selektorin,Negative,Kosovo,Andorra,Draw
18,"thuper thane i kisha njek do do lojtar, tu lu pa kurfar djenja",Negative,Sweden,Kosovo,Loss
8,"Trajnerit biletën direkt për Franc mos e bjerni hiq knej
",Negative,Northern Ireland,Kosovo,Loss
3,"Mendoj se trajneri nuk ka faj,i zëvendësoj dy dështimet kunder izraelit(Vojvoda dhe Dresheviq). Problemi te lojtarët që e dojnë tepër shumë Kosovën,mirpo punojnë shumë pak për Kosovën. Tifozët (populli) e meritojnë kualifikim,lojtarët nuk e meritojnë.",Neutral,Kosovo,Andorra,Draw
2,Dilni jepni dorheqje komplet se nuk eshte marre mos me dite. Per gerdi jeni komplet ,Negative,Kosovo,Romania,Draw
15,Jepni pak udhëzime këtij treneri se ma shum ka nevoj ky për udhezim se lojtaret. Edhe ky Rashica per klube ku paguhet shum mundohet shpirtin me lan a per kosoven ni top si duhet se pason,Negative,Greece,Kosovo,Draw
3,1sh krejt...llom. Rini te shpija na jemi mesu me suportu shtetet tjera,Negative,Kosovo,Andorra,Draw
15,"Rashica , Berisha , Halimi ma te dobetit .
",Negative,Greece,Kosovo,Draw
2,"janë lodh syneti djalit t'vedatit, e qata s'un e kon dho maxin",Negative,Kosovo,Romania,Draw
4,Shneta koft,Neutral,Israel,Kosovo,Draw
4,"Mergim Vojvoden,leart paqaraden kurr mos ti shohum ma para Hadergjonajt edhe Reudhanit,Shum dobt,shum dobt",Negative,Israel,Kosovo,Draw
15,A bon me Vaksionu Trainerin bre ? diqysh si hap gjumi u met ,Negative,Greece,Kosovo,Draw
2,Qysh shtihet bre paqarada para reudhanit me lu a jeni n tok t zotit juu heejj #Giresseout,Negative,Kosovo,Romania,Draw
18,"Brojtja mutë mesfusha kakë Sulm? Muriq Rrahmani loshaj dhe Rashani kanë lujt tjert i kisha lonë komë me ardhë në Kosov bashk me trenerin
",Negative,Sweden,Kosovo,Loss
9,Mushne stadionin e Prishtines uj lirisht ! Sjem na per futboll !,Negative,Greece,Kosovo,Loss
15,"Tajnerin duhet me shkarku apsolutisht, tu hup kosova as ni ndrrim se bon,KATASROF, u pa ndryshimi si u bonen tri ndrrime erdh edhe goli, po mazamakeq per neve kush pe udheheq ket ekipin ton,sidoqoft FORZA DJEMA FORCA KOSOVA...
",Negative,Greece,Kosovo,Draw
8,Fazilja e Aliti as lige. E par kosoves se mertoin shum dobt kan lujt ,Negative,Northern Ireland,Kosovo,Loss
19,"Pa mare parasysh rezultatin loja e kosoves ishte fenomenale,krenar me ju djema, ishte mundsia qe ta mposhtim Spanjen po qe golat nuk u realizuan,fati ske me neve sonte, edhe pse lojtaret tan ishin fantastik Trajneri u desht te bej zevendsime, per me fut ne loj energji Drink,pra energji tjera,por Trajneri kte gje nuk e beri,mendimi im esht qe FFK te gjej nje zgjidhje per nje Trajner te ri, dhe ndoshta Trajneri ka harru qe duhet te bej nderrime,duhet te fus ne loj ne loj energjite reja,gjithesei faleminderit djelmoshave tan qe me te vertet kajn lujt nje loj fenomenale, krenar me ju djema, forca krenarija e kosoves,jam i bindur qe edhe pak koh kosoven skame mujt me mposht asni ekip,hallall djema per emocionet qe na i dhuruat....",Neutral,Kosovo,Spain,Loss
29,Pissaaa,Negative,Kosovo,Moldova,Win
2,"O ska federat ktu, se me pas ndrysh kishin lujt lojtart! 2,3 pasime more sken ngjendje mi bo thajrit e dojm europian a? Jaja harro at sen",Negative,Kosovo,Romania,Draw
18,Tmerr jenii ,Negative,Sweden,Kosovo,Loss
19,"Nuk pe fajsoj as ni Lojtar po oshtë mirë Miloti me shiku Edhe nji her lojen e me pa Elbasan Rashanin shfarë Loje ka Tregu sha ka vrapu Elbasani si në mbrojtje si anash si në sulm besa ka ni her dilke ka ona tjeter për mu Elbasani ka qen? ma i mirë në Fushë
",Positive,Kosovo,Spain,Loss
15,"Loj e dobet ,shum pasime te pasakta, Pa Kreativität edhe veq anash lujshit Si mos me pas fushen rrafsh Po Koder ncncn
",Neutral,Greece,Kosovo,Draw
28,"Ju lumte.
Koncentrim maksimal.
Bravo Kosove",Positive,Kosovo,Lithuania,Win
13,Mos e ftuar kombetares se kosoves aro muric edhe portjer halimi po ftuar kosoves,Negative,Switzerland,Kosovo,Draw
9,"Lojtarin me mirin e largoj ik more ti bash me kta mutat ton krye qe jon per lojtart respekt per gjith
",Neutral,Greece,Kosovo,Loss
4,"Arber Zeneli tkishte luajtur prej fillimit, Kosova 100% fitore kish pas. Perndryshe trainerin e kemi coftine sa me shpejt duhet me qu ne shpi.
",Negative,Israel,Kosovo,Draw
15,"As vedat muriqin mos ta ftoj me. Veç nje gol sdo te thote qe ka bere 90min te mira. Nje lojtar qe nuk luan me ekipin e vet as ne perfaqesuese nuk e kisha fut. Te gjithe mund te jeni kunder am vedati me keqardhje nuk eshte per te luajtuar me kete perfaqesuese
",Negative,Greece,Kosovo,Draw
2,Pershendetuni nga kualifikimi. Zhgenjim total.,Negative,Kosovo,Romania,Draw
8,"ATA TIFOZË QË LËSHUAN STADIUMIN DO TI BIN PISHMAN PER JETË
",Neutral,Northern Ireland,Kosovo,Loss
15,"Selektori nuk lun oj Shqipe!
Fajet jonë qe spo lujn me",Neutral,Greece,Kosovo,Draw
18,"Urime me merit humbja
",Negative,Sweden,Kosovo,Loss
29,"Bash lodhe na kan me keto loje monotone veq katastrof
",Negative,Kosovo,Moldova,Win
3,Po pse mer gazepa i hoqet 3 pikshin izraelit kot,Neutral,Kosovo,Andorra,Draw
2,Nuk e di pse duhet me kan ky trener Besoj qe kosova ka Trenera qe mujën me na perfaqesu ma mire Lorik Cana Besnik Hasi Ardian kozniku e Shumë te tjer.,Negative,Kosovo,Romania,Draw
29,"O sahit plisi bon zavencime o sahit oooo ki plot ne banken reserv o duduk se marre mka ardh me pa ket loj
",Negative,Kosovo,Moldova,Win
28,"Po veq edhe ata lituanezt i paten nja 2 a 3 shanca shum tmira qe tjeter kombtare sna kish fal
",Neutral,Kosovo,Lithuania,Win
28,Neser lene me spanjen nqit nxet ti mujna edhe ata ahhaha,Neutral,Kosovo,Lithuania,Win
29,Qfar niveli i dopt! Qka osht ka bohet more me kta litar,Negative,Kosovo,Moldova,Win
29,Bravo Cerkuza lidhje me top nuk keni.....,Negative,Kosovo,Moldova,Win
8,Mbrojtja si djath i Zvicres ,Neutral,Northern Ireland,Kosovo,Loss
28,Lojtari me i miri o kane Kryeziu shum ka vrapu dhe ka ber pasime shum tforta .Arber Zeneli Muriqi sulmus shum tfort.,Positive,Kosovo,Lithuania,Win
2,Duhet me u ndrru komplet kryesija duhet me ardh gjenerata te reja qe e dojn futbollin edhe tranjerin urgjend duhet me largu ket morr per gjyna qfar fushe me lujtt tani spo vin lejtar po ku tvin me lujt nara,Negative,Kosovo,Romania,Draw
3,Turpi i Kosoves. Ismet Munishi me Ballkanin tri copa jav kish dhane,Negative,Kosovo,Andorra,Draw
29,"Valla bre krejt eksperta pe shoh tu komentu njerz qe skan lidhje me futboll , spe hini me lujt ju ? kallaj me shajt prej kompjuterit ...Bravo djem mire osht kur ska shi edhe breshni bon pune .
",Positive,Kosovo,Moldova,Win
11,"Me nervoz nuk luhet futbolli
Aliti fajtor per humbjen.
",Positive,Kosovo,Greece,Loss
15,"Nuk ka faj trajneri, lojtaret nuk luajne me zemer, kan frik se demtohen,
",Negative,Greece,Kosovo,Draw
7,Urime Brazili i Ballkanit ,Positive,Kosovo,Cyprus,Win
11,"O mshilne Federaten krejt se me amatera nuk luhet futbolli! Rashica, Muriqi, Zhegrova e plot do tjerë ju harroft emri juve se pom vjen marre me ju shajt.",Negative,Kosovo,Greece,Loss
8,"ah i nshoj gjizi nfund
",Neutral,Northern Ireland,Kosovo,Loss
8,"Sa shum u vrejt mungesa e Rrahmanit
",Neutral,Northern Ireland,Kosovo,Loss
4,"Trajneri duhet te zgjohet ma heret nga gjumi, zevendsimet duhet te bohen ma heret jo 2 Min para fundit te lojes!
",Negative,Israel,Kosovo,Draw
18,"Chslandi dhe grupi i ffk duhet mi palu kuferat edhe me ikë ikë prej Kosove se e shkatrrove grupin e Dardanve lojtart i perqave mes veti, ti bashk me udheheqsin e federaten jeni grup hajnash e dallavergjish, qe aty merni lojtar per biznis e jo per Lojë, lojtaret e mirë nuk i ftoni mundoheni me lue me topa te gjatë kunder nje suedie qe jan 100% e lojtarve mat gjatë se lojtaret tan. ",Negative,Sweden,Kosovo,Loss
19,"Rasti i muriqit i pa falshem
",Neutral,Kosovo,Spain,Loss
3,"Ku jon ata qe thojshin mas ndeshjes me Izraelin: Super ndeshje nga ekipi yne, vetem fati na mungoi.",Negative,Kosovo,Andorra,Draw
19,"Kosoves i duhet trajner legjenda e futballit kosovar Rafet Prekazi e jo kesi qobana te zvicres se me kon i mire Zvicra e man per vete
",Neutral,Kosovo,Spain,Loss
8,"Shume bukur ka lujt kosova , sdi sa shancat i kan pas .po topi rrumullak e hin gjithkun ",Positive,Northern Ireland,Kosovo,Loss
15,"Trajneri challand qokolladat prej zvicrre i ka tmira kurgjo tjeter shum i dopt!!
",Negative,Greece,Kosovo,Draw
4,"Trajneri eshte i dobët,nuk eshte i duhuri per Kosovën.
",Negative,Israel,Kosovo,Draw
4,"Ka vend per permiresime , sidoqofte rendesi ka qe nuk jemi mposhtur , kaluam nje hap te madh drejt kualifikimit ne EURO 2024 FORCA KOSOVA ",Positive,Israel,Kosovo,Draw
3,Gjithmon kane thane: punes huaj thuj puna mbare! Kapeni more naj shati edhe shkoni prashitni arat se sjeni per ket sport ju!,Negative,Kosovo,Andorra,Draw
28,Urime Albin kurti,Positive,Kosovo,Lithuania,Win
15,"oj Federate oj budallic, a nuk ka Kosova eksperta t'futbollit hic a?, me u ule nje tavoline me kqyre ku eshte problemi!!
Keti plakut mi thon faliminderit per krejt deri ketu, ky eshte maksimumi i yt naten e mire!",Neutral,Greece,Kosovo,Draw
18,"E paske harru Rashicën me pernend une nuk e pash në loj
",Neutral,Sweden,Kosovo,Loss
8,"loje sh e bukur e kosoves gabuan ne fund suksese me tej
",Positive,Northern Ireland,Kosovo,Loss
29,"Katastrof ! Ekip amaterash as 3 pasime nuk din me i bo... Moldavia met qit ne kaq pozite tkeqe mos vet.
Vojvoda Shala krim janë.",Negative,Kosovo,Moldova,Win
29,"Oo popull ne sot kemi paa fat se ata dobt .se veq pak mat fort tishin kan na kishin kput .. qfar fotbolli .katastrof . Ncncnc po nejse urime fitoren . Ama me ket loj mos hyni nloj nmars vallah
",Negative,Kosovo,Moldova,Win
3,Ermal Mehmeti Ma perpara kisha ble bilet per Ballkanin sa per kta lojtar qe sdin me dhan shpirt per vend tvetin tmerr 1 pik me fitu pi ni shtetit si andora,Negative,Kosovo,Andorra,Draw
3,Turp turp,Negative,Kosovo,Andorra,Draw
11,"tmerr me nervoz sluhet topi
",Negative,Kosovo,Greece,Loss
15,"O chlleds sdin obir tiper trjnr sije ik rujlopt nshficer
",Negative,Greece,Kosovo,Draw
29,"Bravo Moldavi, që lidhje me futboll s'kishit.
Sa për këta tjert, s'po kam fjal ma!
Mahalla jem i kish mujt, po Moldavt ishin katastrof krejt.",Negative,Kosovo,Moldova,Win
3,"Normal, komplet ne federat i ke haramgji e dallaveragji. Prej ati kriminelit qe eshte ne arrest e teposht ren",Negative,Kosovo,Andorra,Draw
3,N.. me federat e kryetar e krejt bre debila!,Negative,Kosovo,Andorra,Draw
29,"Duhet Revolution ne Perfaqesusen Ton mja nis prej tranjerit e deri tek lojtaret. SHUM DOBTE..
",Negative,Kosovo,Moldova,Win
4,Zhegrova edhe dreshevic out jan gjithmon keta e kan marr ne qaf ekipen,Negative,Israel,Kosovo,Draw
29,"Me te vertet nuk ka arsytim loja kaq e dobt e jona
Dhe po shifet qatt se jane ba dy grupe edhe ate qa eshte ma keqja be loje
U pa qart Muriqi Berisha si silleshin me Zhegroven nga ana tjeter sa topat i kan hupe kta dy nuk e pajshin vehten",Negative,Kosovo,Moldova,Win
3,Zymer bytiqi miiiiq osht aiii zymeri,Negative,Kosovo,Andorra,Draw
15,Me rezervista nuk shkohet ne Botror ncncnc ,Negative,Greece,Kosovo,Draw
3,#Giresseout O katunar o analfabeta t futbollit,Negative,Kosovo,Andorra,Draw
29,Dobt shume .!,Negative,Kosovo,Moldova,Win
18,"sepse udhheqja e zgjuar ne FFK i vazhdoi kontraten trajnerit Challandes per shume vite, qe ne fillim te angazhimit te tij si trajner i Kosoves, pas 2-3 fitoreve, gabim fatal. Tani, po e shkarkuan, duhet ta paguajn deri ne perfundim te kontrates (300.000 ne vit). Po e shlarkuan, duhet te vazhdojn ta paguajn dhe ne te njejten kohe te paguajn trajnerin e ri me ndoshta te njejten shumë te parave, e keshtu nuk ua qet, andaj duhet me duru deri sa ti skadon kontrata, e Challandes qe besa ndermend nuk e ka me u largu, sepse me mire me ne kete jete nuk do gjen. Sidoqofte, pajtohem, duhet shkarkuar dhe i zgjuari Agim Ademi gjithashtu duhet ti mbledh plaçkat!",Neutral,Sweden,Kosovo,Loss
19,"OOOOO FEDERAT A KREJT SHTETI VETEM 11 LOJTAR I KAAA . AAAAA ku jon more zevendesimet kur je tu humb.
",Negative,Kosovo,Spain,Loss
19,"E kuptuat pra se faji nuk osht te trajneri po mungon eksperienca ne lojtar sikur Rashica dhe Muriqi i ka kaplu mendjemadhsia dhe e krahasojn veten e tyre sikur te ishin Ronaldo apo Messi para topit dojshin me lujt koqe me portjer spanjes me ksi ekipe te mdhaja nese fitohet ndonje rast duhet me tparen te ekzekutohet pa mendu dy her ...Po prap ishte loj e mirë kemi vetem 5vjet ne Uefa shtetet tjera kanë nga 50vite ne Uefa dhe ende humbin nga 5:0 - 6:0
Nese e bejmë lojen e njejt si sot me shtetet tjera do zgjohet Kosova e fitoreve",Neutral,Kosovo,Spain,Loss
15,"Trajnerit zgjatjani kontraten e pagune po qone nshpi e merrne ni tjeter amani ju koft
",Negative,Greece,Kosovo,Draw
11,"A din qka,krejt federata nshpi shkoni se absolut sen sjeni ka bani,as lojtar as sen skeni ,bile hiq skisha lu sesa me marr ksi lojtarsh amatera,kuku tmerr i zotit qysh hupt ju sot,turp turp,per trajner mos tflasum hiq sish ngjendje dy llogari me ti bapa koment..loj qe sdo koment..nuk e di qka po ndodh kshtu..
",Negative,Kosovo,Greece,Loss
15,"Teper dobet lojtaret tane Rashica ma i dobti
",Neutral,Greece,Kosovo,Draw
3,Qiky beshareti francez trajneri katastrofal! Menjeher shkarkim Aro Murici katastrofal qfar gole mur portjer amater,Negative,Kosovo,Andorra,Draw
2,Me qet trajner harrone suksesin!,Negative,Kosovo,Romania,Draw
29,"Vedat muriqi sante katastrof, shkaku qe e humbi ai topin, u detyru mbrojtesi me marr karton te kuq..
Fitore poo, amo loja eshte e dobet, shum pak kualitet..",Negative,Kosovo,Moldova,Win
19,"A pat Kosova lojtarë rezervë a jo, që nuk i ndrrojke trajneri!
",Neutral,Kosovo,Spain,Loss
2,"Dorheqje komplet stafi , me lojtar qe sjan kerka i ftojn ata tmir nuk i ftojn",Negative,Kosovo,Romania,Draw
2,"Tranjer i dobt , pa taktik pa ide t ndrrimit lojes , kfjellnu oj federat!",Negative,Kosovo,Romania,Draw
29,Marre,Negative,Kosovo,Moldova,Win
